customer_id,first_name,last_name,email,phone,city,state,signup_date,created_at,loyalty_tier
C0001,Aarav,Das,user1@sample.org,+91-8051802512,Hyderabad,KA,2025-05-09,2025-05-09 09:00:00,silver
C0002,Maya,Iyer,user2@example.com,+91-9536146025,Pune,DL,2026-02-08,2026-02-08 09:00:00,bronze
C0003,Isha,Sharma,user3@example.com,+91-9410529190,Hyderabad,KA,2026-03-17,2026-03-17 09:00:00,
C0004,Kiran,Patel,user4@mail.com,+91-8929338154,Pune,TN,2025-05-04,2025-05-04 09:00:00,gold
C0005,Isha,Das,user5@riskmail.biz,+91-8461364854,Kolkata,MH,2026-03-29,2026-03-29 09:00:00,silver
C0006,Ravi,Reddy,user6@example.com,+91-8631775357,Kolkata,TS,2025-12-12,2025-12-12 09:00:00,gold
C0007,Ravi,Reddy,user7@riskmail.biz,+91-9303082117,Chennai,TS,2025-10-07,2025-10-07 09:00:00,platinum
C0008,Ravi,Das,user8@sample.org,+91-9479708607,Chennai,KA,2026-02-20,2026-02-20 09:00:00,
C0009,Maya,Sharma,user9@sample.org,+91-7342703921,hyderabad,KA,2026-02-25,2026-02-25 09:00:00,bronze
C0010,Neha,Das,user10@sample.org,+91-7698594025,Mumbai,MH,2025-09-19,2025-09-19 09:00:00,gold
C0011,RAVI,Das,user11@example.com,+91-9616197747,Pune,WB,2025-12-15,2025-12-15 09:00:00,silver
C0012,Isha,Sharma,user12@riskmail.biz,+91-8629748727,Pune,MH,2025-07-02,2025-07-02 09:00:00,
C0013,Isha,Das,user13@sample.org,unknown,Chennai,TS,2025-04-14,2025-04-14 09:00:00,silver
C0014,Ravi,Patel,user14@sample.org,+91-7284277889,Kolkata,KA,2026-03-16,2026-03-16 09:00:00,
C0015,Maya,Patel,user15@riskmail.biz,+91-9761027762,Bengaluru,DL,2025-10-22,2025-10-22 09:00:00,silver
C0016,Isha,Das,user16@sample.org,+91-9510777721,Bengaluru,DL,2025-11-17,2025-11-17 09:00:00,
C0017,Isha,Sharma,bad-email,+91-9188398760,Mumbai,DL,2025-09-09,2025-09-09 09:00:00,bronze
C0018,Aarav,Sharma,user18@mail.com,+91-9922644564,kolkata,DL,2026-03-08,2026-03-08 09:00:00,
C0019,Neha,Iyer,user19@riskmail.biz,+91-9272528809,Delhi,MH,31-31-2024,2026-02-28 09:00:00,
C0020,Maya,Reddy,user20@sample.org,+91-9752909971,Pune,MH,2026-03-27,2026-03-27 09:00:00,bronze
C0021,Isha,Patel,user21@example.com,+91-8131247330,Delhi,TN,2025-11-02,2025-11-02 09:00:00,silver
C0022,MAYA,Khan,user22@mail.com,+91-7656439677,Hyderabad,MH,2025-07-16,2025-07-16 09:00:00,silver
C0023,Kiran,Reddy,user23@sample.org,+91-9098545541,Kolkata,TS,2025-06-29,2025-06-29 09:00:00,bronze
C0024,Ravi,Sharma,user24@example.com,+91-8034535593,Kolkata,TN,2025-09-28,2025-09-28 09:00:00,bronze
C0025,Neha,Reddy,user25@mail.com,+91-7551437149,Pune,WB,2026-02-17,2026-02-17 09:00:00,platinum
C0026,Ravi,Iyer,user26@riskmail.biz,unknown,Bengaluru,KA,2025-06-24,2025-06-24 09:00:00,
C0027,Maya,Khan,user27@riskmail.biz,+91-9884873529,bengaluru,WB,2025-04-13,2025-04-13 09:00:00,gold
C0028,Neha,Reddy,user28@mail.com,+91-7965067727,Chennai,TS,2025-08-20,2025-08-20 09:00:00,gold
C0029,Kiran,Sharma,user29@mail.com,+91-7030884438,Chennai,TS,2026-03-22,2026-03-22 09:00:00,
C0030,Isha,Reddy,user30@example.com,+91-8419179580,Hyderabad,TS,2025-05-13,2025-05-13 09:00:00,
C0031,Maya,Patel,user31@mail.com,+91-9315992115,Mumbai,KA,2025-12-01,2025-12-01 09:00:00,
C0032,Neha,Sharma,user32@riskmail.biz,+91-8748309234,Chennai,KA,2025-06-13,2025-06-13 09:00:00,bronze
C0033,NEHA,Khan,user33@riskmail.biz,+91-8765670844,Pune,DL,2026-02-11,2026-02-11 09:00:00,
C0034,Maya,Das,bad-email,+91-7422701550,Pune,TS,2026-03-05,2026-03-05 09:00:00,platinum
C0035,Aarav,Sharma,user35@mail.com,+91-7816941039,Kolkata,TN,2025-10-10,2025-10-10 09:00:00,platinum
C0036,Isha,Khan,user36@riskmail.biz,+91-8072910527,delhi,TS,2026-01-20,2026-01-20 09:00:00,platinum
C0037,Aarav,Das,user37@example.com,+91-7400560567,Hyderabad,KA,2025-06-24,2025-06-24 09:00:00,silver
C0038,Neha,Sharma,user38@riskmail.biz,+91-7251837136,Delhi,KA,31-31-2024,2025-09-05 09:00:00,platinum
C0039,Ravi,Patel,user39@sample.org,unknown,Delhi,DL,2026-03-31,2026-03-31 09:00:00,
C0040,Maya,Patel,user40@mail.com,+91-7815605132,Pune,MH,2025-06-21,2025-06-21 09:00:00,silver
C0041,Maya,Iyer,user41@example.com,+91-8346922426,Chennai,TS,2026-03-03,2026-03-03 09:00:00,bronze
C0042,Kiran,Iyer,user42@mail.com,+91-7244295904,Delhi,TN,2025-06-06,2025-06-06 09:00:00,bronze
C0043,Kiran,Reddy,user43@mail.com,+91-8734202799,Hyderabad,TS,2025-12-27,2025-12-27 09:00:00,
C0044,KIRAN,Reddy,user44@example.com,+91-8800557283,Chennai,WB,2025-11-26,2025-11-26 09:00:00,
C0045,Ravi,Khan,user45@mail.com,+91-9876451163,chennai,WB,2025-06-16,2025-06-16 09:00:00,gold
C0046,Neha,Sharma,user46@sample.org,+91-8963764597,Mumbai,MH,2025-11-30,2025-11-30 09:00:00,bronze
C0047,Kiran,Iyer,user47@example.com,+91-7314652384,Delhi,TN,2026-03-28,2026-03-28 09:00:00,silver
C0048,Isha,Khan,user48@example.com,+91-8049193572,Mumbai,MH,2025-07-16,2025-07-16 09:00:00,gold
C0049,Kiran,Das,user49@sample.org,+91-9627135980,Delhi,WB,2026-01-11,2026-01-11 09:00:00,
C0050,Kiran,Khan,user50@example.com,+91-7576775951,Pune,MH,2026-03-28,2026-03-28 09:00:00,bronze
C0051,Kiran,Sharma,bad-email,+91-8169726681,Pune,MH,2026-02-06,2026-02-06 09:00:00,
C0052,Ravi,Sharma,user52@sample.org,unknown,Pune,TN,2025-12-15,2025-12-15 09:00:00,platinum
C0053,Aarav,Reddy,user53@riskmail.biz,+91-8188332531,Kolkata,TS,2025-11-24,2025-11-24 09:00:00,bronze
C0054,Isha,Das,user54@sample.org,+91-7693989311,kolkata,WB,2025-10-13,2025-10-13 09:00:00,platinum
C0055,NEHA,Iyer,user55@example.com,+91-7480494664,Pune,TS,2025-06-23,2025-06-23 09:00:00,
C0056,Aarav,Khan,user56@mail.com,+91-8845919895,Chennai,KA,2026-01-15,2026-01-15 09:00:00,bronze
C0057,Aarav,Khan,user57@mail.com,+91-9929454134,Mumbai,KA,31-31-2024,2025-10-26 09:00:00,
C0058,Kiran,Patel,user58@mail.com,+91-8016779084,Mumbai,KA,2026-02-08,2026-02-08 09:00:00,silver
C0059,Isha,Das,user59@sample.org,+91-8768294570,Hyderabad,WB,2025-09-02,2025-09-02 09:00:00,
C0060,Isha,Das,user60@example.com,+91-8643004186,Mumbai,TS,2025-11-25,2025-11-25 09:00:00,platinum
C0061,Neha,Khan,user61@sample.org,+91-7977515194,Bengaluru,KA,2025-12-09,2025-12-09 09:00:00,bronze
C0062,Neha,Khan,user62@sample.org,+91-7298159856,Bengaluru,MH,2025-04-29,2025-04-29 09:00:00,gold
